Agency,line,name,mcd,cnty,year,sym2,cc2,sorder,stype,sym,cc,torder,transit,a,TOD1,b,TOD2,c,,d,final
NJ TRANSIT RAIL,Northeast Corridor,HAMILTON,Hamilton Township,Mercer,2007,circle-open,#000000,1,Special District,circle,#C34672,3,NJ Transit Northeast Corridor,[,1.428571429,",",2.8,],"[1.428571429,2.8]",",","[1.428571429,2.8],"
SEPTA,69th St Term to Norristown TC(NHSL),Radnor Station,Radnor Township,Delaware,2007,circle-open,#000000,1,Special District,circle,#752d75,2,SEPTA NHSL,[,1.571428571,",",2.2,],"[1.571428571,2.2]",",","[1.571428571,2.2],"
SEPTA,Manayunk/Norristown Line,Spring Mill Station,Whitemarsh Township,Montgomery,2007,circle-open,#000000,1,Special District,circle,#44708d,5,SEPTA Regional Rail,[,1.571428571,",",3,],"[1.571428571,3]",",","[1.571428571,3],"
SEPTA,69th St Term to Norristown TC(NHSL),Stadium Station,Radnor Township,Delaware,2007,circle-open,#000000,1,Special District,circle,#752d75,2,SEPTA NHSL,[,2.428571429,",",2.4,],"[2.428571429,2.4]",",","[2.428571429,2.4],"
SEPTA,69th St Term to Norristown TC(NHSL),Villanova Station,Radnor Township,Delaware,2007,circle-open,#000000,1,Special District,circle,#752d75,2,SEPTA NHSL,[,1.857142857,",",2.4,],"[1.857142857,2.4]",",","[1.857142857,2.4],"
SEPTA,Broad Street Line(BSS),AT&T Station,Philadelphia City,Philadelphia ,2007,circle-open,#000000,1,Special District,circle,#ed6220,1,SEPTA BSL/MFL,[,2.571428571,",",1.8,],"[2.571428571,1.8]",",","[2.571428571,1.8],"
SEPTA,Cynwyd Line,Bala Station,Lower Merion Township,Montgomery,2007,square,#752C75,2,Suburban Center,circle,#44708d,5,SEPTA Regional Rail,[,3,",",2.6,],"[3,2.6]",",","[3,2.6],"
SEPTA,Lansdale/Doylestown Line,Fort Washington Station,Whitemarsh Township,Montgomery,2007,square,#752C75,2,Suburban Center,circle,#44708d,5,SEPTA Regional Rail,[,1.428571429,",",2,],"[1.428571429,2]",",","[1.428571429,2],"
SEPTA,"Lansdale/Doylestown Line, Warminster, West Trenton ",Jenkintown Wyncote Station combined,Jenkintown borough,Montgomery,2007,square,#752C75,2,Suburban Center,circle,#44708d,5,SEPTA Regional Rail,[,2.571428571,",",3,],"[2.571428571,3]",",","[2.571428571,3],"
SEPTA,Paoli/Thorndale Line,Paoli Station,Tredyffrin Township,Chester,2007,square,#752C75,2,Suburban Center,circle,#44708d,5,SEPTA Regional Rail,[,2.285714286,",",2.6,],"[2.285714286,2.6]",",","[2.285714286,2.6],"
SEPTA,Paoli/Thorndale Line,Strafford Station,Tredyffrin Township,Chester,2007,square,#752C75,2,Suburban Center,circle,#44708d,5,SEPTA Regional Rail,[,2,",",2.2,],"[2,2.2]",",","[2,2.2],"
SEPTA,Paoli/Thorndale Line,Berwyn Station,Easttown Township,Chester,2007,square,#752C75,2,Suburban Center,circle,#44708d,5,SEPTA Regional Rail,[,1.571428571,",",2.2,],"[1.571428571,2.2]",",","[1.571428571,2.2],"
SEPTA,Paoli/Thorndale Line,Haverford Station,Lower Merion Township,Montgomery,2007,square,#752C75,2,Suburban Center,circle,#44708d,5,SEPTA Regional Rail,[,2.571428571,",",2.2,],"[2.571428571,2.2]",",","[2.571428571,2.2],"
SEPTA,Paoli/Thorndale Line,Wynnewood Station,Lower Merion Township,Montgomery,2007,square,#752C75,2,Suburban Center,circle,#44708d,5,SEPTA Regional Rail,[,1.714285714,",",2.6,],"[1.714285714,2.6]",",","[1.714285714,2.6],"
SEPTA,Warminster Line,Willow Grove Station,Willow Grove CDP,Montgomery,2007,square,#752C75,2,Suburban Center,circle,#44708d,5,SEPTA Regional Rail,[,2.142857143,",",2.4,],"[2.142857143,2.4]",",","[2.142857143,2.4],"
SEPTA,West Trenton Line,Noble Station,Jenkintown Borough,Montgomery,2007,square,#752C75,2,Suburban Center,circle,#44708d,5,SEPTA Regional Rail,[,2.285714286,",",2.2,],"[2.285714286,2.2]",",","[2.285714286,2.2],"
SEPTA,69th St Term to Norristown TC(NHSL),Haverford Station,Haverford Township,Delaware,2007,circle,#AC80AC,3,Suburban Neighborhood,circle,#752d75,2,SEPTA NHSL,[,2,",",2.2,],"[2,2.2]",",","[2,2.2],"
SEPTA,69th St Term to Norristown TC(NHSL),Hughes Park Station,Upper Merion Township,Montgomery,2007,circle,#AC80AC,3,Suburban Neighborhood,circle,#752d75,2,SEPTA NHSL,[,1.571428571,",",3.2,],"[1.571428571,3.2]",",","[1.571428571,3.2],"
NJ Transit  ,Northeast Corridor,Princeton Junction,Princeton,Mercer,2007,circle,#AC80AC,3,Suburban Neighborhood,circle,#C34672,3,NJ Transit Northeast Corridor,[,1.571428571,",",2.2,],"[1.571428571,2.2]",",","[1.571428571,2.2],"
PATCO,PATCO,ASHLAND STATION,Voorhees Township,Camden,2007,circle,#AC80AC,3,Suburban Neighborhood,circle,#E83138,4,PATCO,[,1.714285714,",",1.6,],"[1.714285714,1.6]",",","[1.714285714,1.6],"
SEPTA,"Lansdale/Doylestown Line, Warminster",Melrose Park combined,Cheltenham Township,Montgomery,2007,circle,#AC80AC,3,Suburban Neighborhood,circle,#44708d,5,SEPTA Regional Rail,[,2.142857143,",",1.4,],"[2.142857143,1.4]",",","[2.142857143,1.4],"
